Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Structural Columns,M_Concrete-Rectangular-Column,400 x 400mm,M_Concrete-Rectangular-Column,,,,,400 x 400mm,Concrete - Cast In Situ,
Structural Columns,M_Concrete-Rectangular-Column,600 x 600mm,M_Concrete-Rectangular-Column,,,,,600 x 600mm,Concrete - Cast In Situ,
Structural Columns,M_Concrete-Rectangular-Column,500 x 500mm,M_Concrete-Rectangular-Column,,,,,500 x 500mm,Concrete - Cast In Situ,
Structural Columns,M_Concrete-Rectangular-Column,300 x 500mm,M_Concrete-Rectangular-Column,,,,,300 x 500mm,"Concrete, Cast-in-Place gray",
Structural Columns,M_Concrete-Rectangular-Column,400 x 600mm,M_Concrete-Rectangular-Column,,,,,400 x 600mm,"Concrete, Cast-in-Place gray",
Structural Columns,JTC_COLN_Rectangular,500X500,JTC_COLN_Rectangular,,,,,500X500,"Concrete, Cast In Situ",
Structural Columns,JTC_COLN_Rectangular,RC_250x250,JTC_COLN_Rectangular,,,,,RC_250x250,Concrete - Cast In Situ,
Structural Columns,UC-Universal Columns-Column,UC203x203x86,UC-Universal Columns-Column,,,,UC203x203x86,UC203x203x86,Metal - Steel - 345 MPa,
Structural Framing,BCA_RC_Beam,400X800,BCA_RC_Beam,,,,,400X800,Concrete - Cast-in-Place Concrete,
Structural Framing,BCA_RC_Beam,250X600,BCA_RC_Beam,,,,,250X600,Concrete - Cast-in-Place Concrete,
Structural Framing,BCA_RC_Beam,400X600,BCA_RC_Beam,,,,,400X600,Concrete - Cast-in-Place Concrete,
Structural Framing,BCA_RC_Beam,600X600,BCA_RC_Beam,,,,,600X600,Concrete - Cast-in-Place Concrete,
Structural Framing,BCA_RC_Beam,200X600,BCA_RC_Beam,,,,,200X600,Concrete - Cast-in-Place Concrete,
Structural Framing,BCA_RC_Beam,200X1150,BCA_RC_Beam,,,,,200X1150,Concrete - Cast-in-Place Concrete,
Structural Framing,BCA_RC_Beam,200X800,BCA_RC_Beam,,,,,200X800,Concrete - Cast-in-Place Concrete,
Structural Framing,BCA_RC_Beam,400x1150,BCA_RC_Beam,,,,,400x1150,Concrete - Cast-in-Place Concrete,
