Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Pipe Fittings,M_Ell Vent - PVC - Sch 40 - DWV,Standard,M_Ell Vent - PVC - Sch 40 - DWV,,,,,Standard,,<By Category>
Pipe Fittings,M_Ell Vent - PVC - Sch 40 - DWV,Standard,M_Ell Vent - PVC - Sch 40 - DWV,,,,,,,<By Category>
Pipe Fittings,M_Ell Vent - PVC - Sch 40 - DWV,Standard,M_Ell Vent - PVC - Sch 40 - DWV,,,,,Standard,,psPIPE
Pipe Fittings,M_Ell Vent - PVC - Sch 40 - DWV,Standard,M_Ell Vent - PVC - Sch 40 - DWV,,,,,,,psPIPE
Pipe Fittings,M_Reducer - PVC - Sch 40 - DWV,Standard,M_Reducer - PVC - Sch 40 - DWV,,,,,Standard,,<By Category>
Pipe Fittings,M_Reducer - PVC - Sch 40 - DWV,Standard,M_Reducer - PVC - Sch 40 - DWV,,,,,,,<By Category>
Pipe Fittings,M_Reducer - PVC - Sch 40 - DWV,Standard,M_Reducer - PVC - Sch 40 - DWV,,,,,Standard,,psPIPE
Pipe Fittings,M_Reducer - PVC - Sch 40 - DWV,Standard,M_Reducer - PVC - Sch 40 - DWV,,,,,,,psPIPE
Pipe Fittings,FF-psVent_Double Inlet,psVent - Double Inlet,FF-psVent_Double Inlet,,,,,psVent - Double Inlet,,<By Category>
Pipe Fittings,FF-psVent_Double Inlet,psVent - Double Inlet,FF-psVent_Double Inlet,,,,,,,<By Category>
Pipe Fittings,FF-psVent_Double Inlet,psVent - Double Inlet,FF-psVent_Double Inlet,,,,,psVent - Double Inlet,,psPIPE
Pipe Fittings,FF-psVent_Double Inlet,psVent - Double Inlet,FF-psVent_Double Inlet,,,,,,,psPIPE
Pipe Fittings,FF-psVent_Single Inlet,psVent - Single Inlet,FF-psVent_Single Inlet,,,,,psVent - Single Inlet,,<By Category>
Pipe Fittings,FF-psVent_Single Inlet,psVent - Single Inlet,FF-psVent_Single Inlet,,,,,,,<By Category>
Pipe Fittings,FF-psVent_Single Inlet,psVent - Single Inlet,FF-psVent_Single Inlet,,,,,psVent - Single Inlet,,psPIPE
Pipe Fittings,FF-psVent_Single Inlet,psVent - Single Inlet,FF-psVent_Single Inlet,,,,,,,psPIPE
Pipe Fittings,FF-Bend_Elbow_Ø75,B2X45-075,FF-Bend_Elbow_Ø75,,,,,B2X45-075,,<By Category>
Pipe Fittings,FF-Bend_Elbow_Ø75,B2X45-075,FF-Bend_Elbow_Ø75,,,,,,,<By Category>
Pipe Fittings,M_Tee Reducing Vent - PVC - Sch 40 - DWV,Standard,M_Tee Reducing Vent - PVC - Sch 40 - DWV,,,,,Standard,,<By Category>
Pipe Fittings,M_Tee Reducing Vent - PVC - Sch 40 - DWV,Standard,M_Tee Reducing Vent - PVC - Sch 40 - DWV,,,,,,,<By Category>
